date,daily_electrical_consumption
2017-08-31,2266153.0
2017-09-01,3610002.0
2017-09-02,3517228.0
2017-09-03,2923533.0
2017-09-04,1999469.0
2017-09-05,2466218.0
2017-09-06,2253976.0
2017-09-07,1932720.0
2017-09-08,2006395.0
2017-09-09,2009325.0
2017-09-10,2401250.0
2017-09-11,3122458.0
2017-09-12,3368181.0
2017-09-13,2351601.0
2017-09-14,2352017.0
2017-09-15,2335148.0
2017-09-16,2105107.0
2017-09-17,2022068.0
2017-09-18,2382295.0
2017-09-19,2443698.0
2017-09-20,2447312.0
2017-09-21,2403405.0
2017-09-22,2364790.0
2017-09-23,2094118.0
2017-09-24,1952197.0
2017-09-25,2301150.0
2017-09-26,2352169.0
2017-09-27,2358401.0
2017-09-28,2350973.0
2017-09-29,2312849.0
2017-09-30,2070170.0
2017-10-01,3602776.0
2017-10-02,3553268.0
2017-10-03,2804526.0
2017-10-04,2316312.0
2017-10-05,2446328.0
2017-10-06,2002749.0
2017-10-07,2256602.0
2017-10-08,2004845.0
2017-10-09,1890823.0
2017-10-10,2432693.0
2017-10-11,3042079.0
2017-10-12,3183546.0
2017-10-13,2367220.0
2017-10-14,2099167.0
2017-10-15,1965746.0
2017-10-16,2301398.0
2017-10-17,2360033.0
2017-10-18,2380109.0
2017-10-19,2379751.0
2017-10-20,2381487.0
2017-10-21,2152630.0
2017-10-22,2109202.0
2017-10-23,2509181.0
2017-10-24,2507753.0
2017-10-25,2466755.0
2017-10-26,2478719.0
2017-10-27,2457117.0
2017-10-28,2296109.0
2017-10-29,2221563.0
2017-10-30,2613812.0
2017-10-31,2781745.0
2017-11-01,3529301.0
2017-11-02,3353108.0
2017-11-03,2495137.0
2017-11-04,2414132.0
2017-11-05,2424432.0
2017-11-06,1885558.0
2017-11-07,2304032.0
2017-11-08,1995199.0
2017-11-09,2247934.0
2017-11-10,2431880.0
2017-11-11,2636913.0
2017-11-12,3386407.0
2017-11-13,3085336.0
2017-11-14,3233128.0
2017-11-15,3232167.0
2017-11-16,3233187.0
2017-11-17,3162906.0
2017-11-18,2923131.0
2017-11-19,2803548.0
2017-11-20,3190106.0
2017-11-21,3150921.0
2017-11-22,3039437.0
2017-11-23,2919409.0
2017-11-24,2894539.0
2017-11-25,2763137.0
2017-11-26,2895183.0
2017-11-27,3318834.0
2017-11-28,3356407.0
2017-11-29,3444098.0
2017-11-30,3582049.0
2017-12-01,3462012.0
2017-12-02,3122324.0
2017-12-03,2385765.0
2017-12-04,2448376.0
2017-12-05,2374550.0
